Genre1 Partner1 rating,Genre1 Partner2 rating,Genre2 Partner1 rating,Genre2 Partner2 rating,Genre3 Partner1 rating,Genre3 Partner2 rating,Compatibility (0-1)
2,1,1,3,3,4,0.9757773359676263
9,1,4,2,9,8,0.5506445212225203
3,1,7,1,7,5,0.662939332363045
8,3,5,7,7,5,0.7492502958996883
0,2,1,4,5,5,0.9124681399452012
2,0,0,8,2,8,0.47230826498115236
5,5,1,2,6,1,0.8831077902129485
0,5,8,6,4,3,0.814382905411567
0,1,6,4,3,2,0.9762518331927658
4,2,9,3,6,4,0.7541738307112151
3,1,2,9,8,2,0.41038101637021024
0,1,9,4,8,0,0.49662047530830083
0,5,1,2,6,6,0.7771589991349035
9,3,7,4,0,3,0.6643013086649591
8,4,4,1,3,0,0.819898144991063
9,2,4,4,5,0,0.5302059387413512
8,6,4,7,9,9,0.919072003303968
3,5,3,7,9,8,0.9267314800344012
5,0,0,9,1,0,0.37356795108387714
9,2,4,1,9,5,0.637226454810471
6,0,8,1,1,0,0.5526246245614714
6,0,8,3,2,3,0.616120299369603
5,8,9,2,2,7,0.5805092255738932
7,6,3,0,7,8,0.9103093559104815
4,0,9,5,9,6,0.7111542113742269
7,1,3,2,8,6,0.7381301850915484
0,3,6,4,4,4,0.899064771229084
1,2,5,4,2,5,0.95059094558756
5,3,9,3,0,8,0.4360672854918651
7,5,2,0,1,4,0.9070060572203453
6,1,3,1,8,6,0.7474681845746823
4,1,7,5,9,8,0.9353636814153622
2,7,9,4,2,8,0.5009148010497375
4,4,8,1,4,2,0.6234146331186156
4,0,9,8,3,3,0.8762171315199325
7,5,8,8,8,1,0.6816207503386504
7,9,6,4,5,4,0.9270958797965403
0,0,0,0,8,6,0.9765029910852131
3,7,0,6,9,8,0.6659551352434103
0,7,5,4,6,5,0.7444397291138347
2,0,2,9,8,4,0.6149190550262948
2,0,8,4,9,4,0.7137064714129384
8,5,2,3,2,1,0.9667523787288723
0,9,6,6,4,5,0.4748821129994229
4,7,3,6,6,0,0.6935126086303589
1,1,4,1,9,4,0.7566481949420492
6,2,9,9,8,1,0.5510229628627987
3,9,0,4,1,0,0.6895412304290295
3,1,7,1,9,1,0.39816367570895084
4,4,2,2,9,7,0.9804624716775826
6,0,4,2,0,9,0.33379867139525377
7,3,9,4,4,1,0.6992679371058343
0,6,5,1,8,8,0.7008335525812313
9,2,1,6,1,8,0.36424849138837717
2,7,1,6,1,2,0.623326089385194
1,9,3,3,6,3,0.5577180988445777
3,3,9,5,3,7,0.8168245224209031
7,2,4,6,2,5,0.7681049338861256
4,7,3,0,0,7,0.5645314554401504
2,4,5,7,0,8,0.5582183784548109
0,2,1,8,9,5,0.6475721063326751
1,0,7,7,3,9,0.730694947122375
6,5,7,9,1,0,0.9246148366651404
8,2,0,3,3,4,0.6890896053879974
6,8,2,0,6,0,0.6582617168403279
3,8,7,8,9,0,0.44852430630365175
0,8,1,8,9,1,0.18132554352972838
2,5,1,2,6,4,0.9153430236189348
3,7,4,0,7,0,0.5642464853024951
1,6,0,0,7,6,0.8121490399809868
6,3,2,4,3,6,0.8697142744420768
1,2,8,7,6,2,0.8901956376192498
3,7,6,0,3,6,0.7052552889804101
0,9,0,2,0,0,0.5541143069852704
4,6,9,6,2,9,0.6026815377480533
2,2,2,3,7,3,0.8989964250604683
4,6,2,7,6,7,0.7835526088048036
2,3,8,9,0,5,0.8412071969747799
8,9,8,6,1,1,0.9766355583919546
9,3,4,2,3,0,0.6753326927051011
4,0,9,3,0,0,0.6834601145869359
5,4,1,0,3,0,0.9613566959434238
3,9,1,8,1,9,0.26417257669333694
2,5,0,5,7,1,0.5724142770331825
7,7,4,0,2,0,0.8379261350171067
5,9,2,8,7,4,0.6245194371465181
2,4,8,7,1,2,0.9541473652860407
7,0,7,3,6,6,0.657388006676729
8,9,8,0,2,5,0.5376181686620316
8,4,8,0,4,5,0.5603266864871532
0,3,8,0,4,5,0.5651789848035965
3,5,4,3,8,8,0.9682653742265106
4,3,1,6,9,6,0.7732321122780152
5,2,6,0,2,1,0.703263321903648
6,7,3,9,6,0,0.5458981504615891
9,7,8,2,0,3,0.6540143170482902
0,4,0,7,1,5,0.5266721625544847
0,8,1,7,3,0,0.4343443394391536
8,1,6,7,9,0,0.28343455835748776
5,3,1,5,8,6,0.8775995859197296
2,7,0,6,2,5,0.47104178979173833
8,6,2,7,1,1,0.8247392804321956
6,6,1,6,6,1,0.7194427563913277
2,6,8,3,9,8,0.7184725548254884
1,9,9,7,3,5,0.6349900968616811
2,6,4,6,6,0,0.6103939737674614
0,8,1,3,0,9,0.2649368382670868
3,4,0,8,0,6,0.47015538777801313
6,8,6,6,6,2,0.8545551718894969
1,3,2,9,5,2,0.6248801957983158
3,2,5,0,9,5,0.7362581990411876
1,5,0,2,9,8,0.8636922808632841
7,3,5,5,7,7,0.9030982278219644
9,2,8,5,2,5,0.6798593282718459
2,5,7,2,2,9,0.456790361842031
6,9,9,4,6,6,0.7869250105741353
9,9,0,7,3,6,0.5891481045134672
1,1,3,5,8,7,0.9643892374215639
0,4,2,5,3,9,0.5617097358203729
4,2,2,3,7,0,0.717592931271984
8,8,5,4,3,1,0.9829531396178983
6,1,3,5,6,0,0.5883231173697474
7,3,8,4,4,1,0.72918586909703
4,7,3,7,0,8,0.49660525762554675
9,0,1,9,6,3,0.23493800014716784
2,5,9,7,0,6,0.7178659616876053
7,6,6,7,4,0,0.9014410748751631
3,4,8,1,6,4,0.6839052138945667
1,0,8,0,3,4,0.6533569164898048
9,6,3,0,8,2,0.7197758715122119
0,8,4,7,6,8,0.5340921821870711
3,4,6,2,7,0,0.5995274474738282
3,5,3,6,0,7,0.6372211440706297
9,0,0,8,3,2,0.3257493064452953
3,1,1,2,8,9,0.9613695848162583
5,4,6,8,5,7,0.9189865506747987
8,9,2,4,4,7,0.8988052851989923
9,4,2,9,7,3,0.46058094750602335
1,2,3,4,8,2,0.7518701707921854
5,0,5,8,5,7,0.7520169506870973
8,2,2,1,7,6,0.7173684044951879
8,6,7,0,8,0,0.33270395878771086
1,6,9,3,3,5,0.6087222499856596
5,4,2,2,0,6,0.7280022044314092
2,8,4,6,2,2,0.7434187741664561
2,8,8,3,1,5,0.49306965754761733
4,1,8,7,3,0,0.8620818587695496
4,0,5,1,8,9,0.7409919451201324
4,0,9,3,1,5,0.6477888683026726
2,9,7,7,8,0,0.37401804670377503
4,8,2,6,5,7,0.7823634955074376
3,8,1,7,1,0,0.6229117954745631
2,5,3,6,2,1,0.8842565633155097
6,2,8,0,1,7,0.36188832104002683
1,8,2,0,9,1,0.3106071594193567
9,5,0,4,4,2,0.8040075945750893
4,4,9,1,0,5,0.5186987160892619
2,5,0,2,0,6,0.7198757487002052
6,2,7,5,2,5,0.8066442394022911
8,3,1,6,7,2,0.5356801181219101
7,3,8,0,7,4,0.47094737424971056
7,9,3,1,7,9,0.9203922335936614
0,3,8,3,0,4,0.7711589875150957
7,0,5,8,3,0,0.6061726807387247
5,5,4,1,3,8,0.7538601888801357
6,8,6,7,7,2,0.817084002183483
8,7,7,5,8,8,0.9625626928268708
4,2,5,3,2,0,0.9374919659984564
7,1,6,8,0,2,0.7908953741680862
2,7,6,1,9,4,0.4913398473605613
8,6,5,3,2,8,0.6869577763866177
8,9,0,9,5,7,0.5449231848614163
4,9,3,9,3,1,0.6025454723825477
7,4,8,2,9,9,0.6842290732336387
5,0,6,4,9,2,0.5496334125277967
3,5,5,3,2,2,0.9633243228517303
0,1,9,2,3,9,0.5418940743350582
8,4,9,0,9,9,0.5018687836060269
8,0,5,9,7,4,0.5657587812979241
8,8,8,3,2,7,0.7101197700977776
8,6,3,3,5,3,0.9607654272462183
3,3,7,2,3,6,0.756152674898834
3,4,3,0,1,3,0.8964182853987614
2,3,1,7,5,7,0.7455155867907167
5,7,0,8,7,9,0.5513789640797687
2,4,8,5,1,4,0.8308969209230782
5,5,7,2,5,0,0.6757044330605861
2,1,2,2,4,1,0.9369461874264318
5,7,1,5,4,9,0.6926631092812965
5,1,8,6,1,3,0.846794293493391
9,8,6,2,9,6,0.8668234875411334
9,2,9,6,1,7,0.45779375210256107
0,2,7,4,7,0,0.6248915058577533
0,3,3,4,3,7,0.8690098680407913
6,9,5,5,9,9,0.9531491425460304
1,1,3,0,1,7,0.7491774129804241
1,9,7,4,8,4,0.46204618606910713
6,8,3,6,5,9,0.7637285834603762
7,5,2,3,7,4,0.8651187600218274
3,6,2,1,1,8,0.654770384953634
7,7,7,7,7,9,0.9710955837478734
5,9,0,6,0,2,0.6900117315950701
3,1,2,5,8,9,0.91397394122191
0,8,3,4,8,3,0.470621447902946
0,0,5,1,3,6,0.904469636927021
3,7,7,5,5,0,0.6823265075196586
1,3,1,0,5,4,0.9596513207455425
6,8,5,1,0,5,0.7018379911116704
7,9,9,3,1,1,0.6872388409284123
9,9,6,5,1,9,0.6066985498780831
9,8,9,9,5,1,0.9081827315068216
2,6,4,6,1,0,0.8912187196011827
9,3,2,3,0,3,0.6956955076380936
2,7,0,7,5,8,0.5230057089026116
4,5,4,5,1,5,0.8318600131711988
7,2,3,8,5,1,0.5806580532371199
